City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,muros,42.7762,-9.0603,43.84,86,3,6.53,ES,1675299196
1,castro,-24.7911,-50.0119,63.28,95,55,2.21,BR,1675299198
2,pacifica,37.6138,-122.4869,57.72,54,75,3.0,US,1675299199
3,mataura,-46.1927,168.8643,79.63,52,100,1.81,NZ,1675298401
4,barrow,71.2906,-156.7887,-7.58,77,0,21.85,US,1675298378
5,kahului,20.8947,-156.47,80.96,79,40,11.5,US,1675298732
6,san blas,21.5167,-105.2667,68.92,86,6,2.13,MX,1675299201
7,normandin,48.8333,-72.5321,12.51,78,42,10.36,CA,1675299202
8,avarua,-21.2078,-159.775,75.25,94,75,9.22,CK,1675298698
9,ushuaia,-54.8,-68.3,56.86,62,75,12.66,AR,1675299203
10,dikson,73.5069,80.5464,-4.47,93,98,8.43,RU,1675298997
11,vaini,-21.2,-175.2,86.16,70,75,16.11,TO,1675299204
12,hermanus,-34.4187,19.2345,63.81,84,3,6.44,ZA,1675298386
13,rikitea,-23.1203,-134.9692,79.7,75,9,13.04,PF,1675299205
14,saskylakh,71.9167,114.0833,-12.01,98,100,7.72,RU,1675298740
15,georgetown,5.4112,100.3354,78.73,94,20,4.61,MY,1675298628
16,busselton,-33.65,115.3333,67.21,51,92,17.05,AU,1675299207
17,colac,-38.3333,143.5833,61.18,46,65,20.0,AU,1675299209
18,babu,24.4167,111.5167,64.11,76,100,3.49,CN,1675299211
19,victoria,22.2855,114.1577,71.26,83,0,3.0,HK,1675298676
20,port lincoln,-34.7333,135.8667,64.63,70,100,26.02,AU,1675298636
21,chokurdakh,70.6333,147.9167,-10.93,98,100,3.53,RU,1675299214
22,saint-philippe,-21.3585,55.7679,74.79,83,21,5.5,RE,1675298457
23,qaanaaq,77.484,-69.3632,-9.22,64,0,8.59,GL,1675299215
24,tasiilaq,65.6145,-37.6368,19.56,80,100,19.42,GL,1675298626
25,upernavik,72.7868,-56.1549,-17.79,97,86,5.17,GL,1675298677
26,yellowknife,62.456,-114.3525,-28.44,75,20,3.44,CA,1675299017
27,buluang,13.3068,123.3425,81.23,76,10,4.43,PH,1675299216
28,kodiak,57.79,-152.4072,36.91,70,75,3.44,US,1675299216
29,albany,42.6001,-73.9662,22.35,58,13,5.64,US,1675299020
30,punta arenas,-53.15,-70.9167,59.11,58,75,4.61,CL,1675299217
31,east london,-33.0153,27.9116,69.96,82,16,14.27,ZA,1675299217
32,torbay,47.6666,-52.7314,12.76,82,40,3.44,CA,1675298532
33,souillac,-20.5167,57.5167,77.38,88,40,3.44,MU,1675298637
34,utica,43.1009,-75.2327,21.34,71,29,9.04,US,1675299218
35,bredasdorp,-34.5322,20.0403,65.03,77,28,4.0,ZA,1675299219
36,marquette,46.5333,-87.6335,15.76,63,100,5.68,US,1675299219
37,ancud,-41.8697,-73.8203,54.59,79,32,5.73,CL,1675298635
38,cogoleto,44.3893,8.6429,52.03,89,20,5.01,IT,1675299220
39,namibe,-15.1961,12.1522,71.42,81,100,4.68,AO,1675298604
40,cape town,-33.9258,18.4232,66.09,71,20,16.11,ZA,1675299006
41,bogorodskoye,56.55,37.8833,26.19,94,100,8.46,RU,1675299221
42,pangnirtung,66.1451,-65.7125,-22.4,78,100,2.95,CA,1675299221
43,bambous virieux,-20.3428,57.7575,77.25,88,40,3.44,MU,1675298655
44,atuona,-9.8,-139.0333,78.78,77,100,14.34,PF,1675299222
45,port alfred,-33.5906,26.891,65.17,90,0,1.99,ZA,1675299222
46,niltepec,16.5667,-94.6167,78.17,70,6,10.78,MX,1675299223
47,ndele,8.4109,20.6473,73.26,18,5,4.54,CF,1675299223
48,butaritari,3.0707,172.7902,80.38,79,100,19.1,KI,1675299224
49,ahipara,-35.1667,173.1667,75.94,66,100,8.1,NZ,1675298725
50,nabire,-3.3667,135.4833,81.93,78,92,2.84,ID,1675299224
51,maumere,-8.6199,122.2111,81.16,79,100,4.14,ID,1675299225
52,ribeira grande,38.5167,-28.7,52.77,84,19,5.01,PT,1675299225
53,qaqortoq,60.7167,-46.0333,11.52,92,100,5.68,GL,1675299226
54,daru,-9.0763,143.2092,78.71,90,100,9.44,PG,1675299226
55,galle,6.0367,80.217,74.86,84,100,9.53,LK,1675298878
56,vestmannaeyjar,63.4427,-20.2734,37.06,78,100,31.38,IS,1675298680
57,hilo,19.7297,-155.09,82.27,77,0,11.5,US,1675298492
58,las choapas,17.9333,-94.0833,71.94,94,12,7.7,MX,1675299227
59,cabo san lucas,22.8909,-109.9124,71.91,64,20,11.5,MX,1675298696
60,new norfolk,-42.7826,147.0587,64.89,42,98,12.41,AU,1675298635
61,lyubytino,58.8122,33.3922,19.98,96,98,7.2,RU,1675299228
62,diego de almagro,-26.3667,-70.05,69.37,55,3,4.38,CL,1675299228
63,talnakh,69.4865,88.3972,9.21,96,100,8.68,RU,1675299228
64,kaeo,-35.1,173.7833,74.19,75,100,5.17,NZ,1675299229
65,ayan,56.45,138.1667,-9.09,65,100,8.79,RU,1675298816
66,pisco,-13.7,-76.2167,73.45,88,20,18.41,PE,1675298730
67,turukhansk,65.8167,87.9833,10.09,96,100,9.42,RU,1675299230
68,ponta do sol,32.6667,-17.1,63.23,66,46,10.45,PT,1675298535
69,rovaniemi,66.5,25.7167,24.21,93,40,10.36,FI,1675299230
70,husavik,66.0449,-17.3389,21.02,91,100,9.33,IS,1675298501
71,hobart,-42.8794,147.3294,65.23,50,75,12.66,AU,1675298476
72,holme,56.1138,10.1725,35.19,88,12,14.05,DK,1675299231
73,gorontalo,0.5412,123.0595,80.33,79,91,4.21,ID,1675298593
74,devils lake,48.1128,-98.8651,3.94,81,0,9.22,US,1675299232
75,tuatapere,-46.1333,167.6833,75.45,58,100,2.08,NZ,1675298566
76,sobolevo,54.4299,31.8996,29.03,95,100,12.15,RU,1675299232
77,lagoa,39.05,-27.9833,56.62,70,8,6.6,PT,1675299233
78,lebu,-37.6167,-73.65,56.86,83,0,21.63,CL,1675299233
79,sinop,41.7711,34.8709,26.46,87,16,8.12,TR,1675299233
80,kutum,14.2,24.6667,59.18,23,92,7.0,SD,1675299234
81,narsaq,60.9167,-46.05,19.62,93,100,4.63,GL,1675299234
82,le port,-20.9373,55.2919,75.2,79,36,1.74,RE,1675299235
83,itaqui,-29.1253,-56.5531,84.34,28,0,7.96,BR,1675299235
84,bambanglipuro,-7.95,110.2833,76.77,86,100,2.68,ID,1675299235
85,leshukonskoye,64.8989,45.7622,21.99,95,100,6.31,RU,1675298610
86,price,39.5994,-110.8107,25.86,42,0,3.44,US,1675299236
87,mount gambier,-37.8333,140.7667,55.56,89,100,14.38,AU,1675298833
88,tiksi,71.6872,128.8694,-16.53,99,100,8.77,RU,1675298526
89,bonthe,7.5264,-12.505,77.13,87,0,4.41,SL,1675299237
90,praia da vitoria,38.7333,-27.0667,54.75,100,20,1.57,PT,1675299237
91,norman wells,65.282,-126.8329,-30.96,75,40,2.3,CA,1675298851
92,esna,25.2934,32.554,51.82,49,2,7.81,EG,1675299238
93,mahebourg,-20.4081,57.7,77.29,88,40,3.44,MU,1675299238
94,thompson,55.7435,-97.8558,-20.04,69,40,11.5,CA,1675299239
95,axim,4.8699,-2.2405,78.37,90,0,5.06,GH,1675299239
